POS,beautifully crafted and cooly unsettling . . . recreates the atmosphere of the crime expertly .,magnifiquement conçu et cooly troublant . . . recrée de manière experte l ' atmosphère du crime .,สร้างขึ้นอย่างสวยงามและไม่มั่นคงเย็นตา . . สร้างบรรยากาศของอาชญากรรมอย่างเชี่ยวชาญ,شيدت بشكل جميل وغير مستقر ... رائع ... بخلق خلق جو من الجريمة.,美しく細工された冷静な不安 。 。 。 犯罪の雰囲気を巧みに再現します 。,精美的制作和苦恼令人不安 。 。 。 专业地重现犯罪的气氛 。
NEG,"for anyone who grew up on disney ' s 1950 treasure island , or remembers the 1934 victor fleming classic , this one feels like an impostor .","pour tous ceux qui ont grandi sur l ' île aux trésors de disney en 1950 ou se souviennent du classique vainqueur de 1934 , celui - ci se sent imposteur .",สำหรับทุกคนที่เติบโตขึ้นมาบนเกาะขุมสมบัติของดิสนีย์ในปี 1950 หรือจดจำผู้ชนะในปี 1934 ผู้ชนะคลาสสิกคนนี้รู้สึกเหมือนเป็นนักต้มตุ๋น,لكل من نشأ في ديزني تريجر آيلاند في الخمسينيات أو تذكره في عام 1934 ، يبدو هذا الفائز الكلاسيكي وكأنه عملية احتيال.,ディズニーの1950年の宝の島で育った人 、 または1934年の勝利者フレミング・クラシックを覚えている人のために 、 これは偽造者のように感じます 。,对于那些在迪士尼1950年的宝岛上长大的人 ， 或者记得1934年的胜利者经常出现 ， 这个人就像一个冒名顶替者 。
NEG,"while serving sara does have a long way to go before it reaches the level of crudity in the latest austin powers extravaganza , there ' s nothing here to match that movie ' s intermittent moments of inspiration .","bien que servir sara ait encore beaucoup de chemin à parcourir avant d ' atteindre le niveau de cruauté dans le dernier spectacle extravagant des puissances austiniennes , rien ne peut égaler les moments d ' inspiration intermittents de ce film .",ในขณะที่การให้บริการซาร่านั้นมีทางยาวไปก่อนที่จะถึงระดับของความหยาบคายในออตโตมันพลังพิเศษครั้งล่าสุดไม่มีอะไรที่นี่เพื่อให้ตรงกับช่วงเวลาที่เป็นแรงบันดาลใจของภาพยนตร์เรื่องนั้น,في حين أن خدمة سارة لديها طريق طويل قبل أن تصل إلى مستوى الغموض في القوى العثمانية الخاصة الأخيرة ، لا يوجد شيء هنا لمباراة لحظات الفيلم الملهمة. ال,それが最新のオースティンの力の浪費家の中で卑劣なレベルに達する前に 、 サラを提供することは長い道のりがありますが 、 その映画の断続的なインスピレーションの瞬間にマッチするものは何もありません 。,在服务萨拉确实还有很长的路要走 ， 才能达到最新的奥斯汀权力盛会中的粗暴程度 ， 这里没有任何东西可以匹配那部电影的间歇性灵感时刻 。
NEG,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers .","un portrait de l ' aliénation si parfait , il réussira certainement à aliéner la plupart des téléspectateurs .",ภาพของความแปลกแยกที่สมบูรณ์แบบมันจะประสบความสำเร็จอย่างแน่นอนในการทำให้ผู้ชมส่วนใหญ่แตกต่าง,بالتأكيد ستنجح صورة الاغتراب التام في جعل غالبية المشاهدين مختلفين.,非常に完璧な疎外の肖像画 、 それは確かにほとんどの視聴者を疎外することに成功します 。,异化的画像如此完美 ， 它肯定会成功疏远大多数观众 。
NEG,schindler ' s list it ain ' t .,la liste de schindler n ' est pas .,รายการของชินด์เลอร์มันไม่ใช่,قائمة شندلر ، ليست كذلك,シンドラーのリストはそうではありません 。,辛德勒的名单不是 。
NEG,". curiously , super troopers suffers because it doesn ' t have enough vices to merit its 103 - minute length .",". curieusement , les super troopers souffrent parce qu’il n’a pas assez de vices pour mériter ses 103 minutes .",. อยากรู้อยากเห็นทหารซุปเปอร์ทนทุกข์เพราะมันไม่มีความชั่วร้ายพอที่จะทำบุญความยาว 103 นาที,. يعاني الفضول السوبر الجنود لأنه هو الشر بما فيه الكفاية لالجدارة يبلغ طوله 103 دقيقة.,。 不思議なことに 、 スーパートルーパーはその103分の長さに値するほどの悪意がないために苦しんでいます 。,。 奇怪的是 ， 超级骑兵遭受了损失 ， 因为它没有足够的恶习来支付其103分钟的长度 。
NEG,this angst - ridden territory was covered earlier and much better in ordinary people .,ce territoire angoissé était couvert plus tôt et beaucoup mieux chez les gens ordinaires .,ดินแดนที่เต็มไปด้วยความเจ็บปวดนี้ถูกปกคลุมไปด้วยคนธรรมดาและเร็วกว่ามาก,تمت تغطية هذه الأرض المؤلمة مع الناس العاديين وأسرع بكثير.,この不安に満ちた領土は 、 以前にはカバーされていましたが 、 一般の人々にははるかに優れています 。,这个焦虑不安的领土早已被覆盖 ， 在普通人中更好 。
NEG,"the emperor ' s club is one of those films that possesses all the good intentions in the world , but . . .","le club de l ' empereur est l ' un de ces films qui possède toutes les bonnes intentions du monde , mais . . .",ชมรมของจักรพรรดิเป็นหนึ่งในภาพยนตร์ที่มีเจตนาดีทั้งหมดในโลก แต่. . .,The Emperor's Club هو أحد أفضل الأفلام في العالم ، لكن ...,皇帝のクラブは 、 世界ですべての善意を持っているそれらの映画のうちの1つです 、 しかし 。 。 。,皇帝俱乐部是那些拥有世界上所有善意的电影之一 ， 但是 。 。 。
NEG,there are just too many characters saying too many clever things and getting into too many pointless situations . where ' s the movie here ?,trop de personnages disent trop de choses intelligentes et se retrouvent dans trop de situations inutiles . où est le film ici ?,มีตัวละครมากเกินไปที่พูดสิ่งที่ฉลาดมากเกินไปและเข้าสู่สถานการณ์ที่ไม่มีจุดหมายมากเกินไป หนังเรื่องนี้อยู่ที่ไหน,هناك العديد من الشخصيات التي تقول أشياء ذكية جدًا وتدخل في العديد من المواقف غير المجدية. أين هذا الفيلم؟,あまりにも多くの賢いことを言ったり 、 あまりにも多くの無意味な状況になったりすると言っているキャラクターが多すぎます 。 ここの映画はどこですか？,有太多的人物说太多聪明的东西 ， 并且进入太多毫无意义的情况 。 电影在哪里？
NEG,as original and insightful as last week ' s episode of behind the music .,aussi original et perspicace que l ' épisode de la musique de la semaine dernière .,เหมือนต้นฉบับและเฉียบแหลมเหมือนตอนของสัปดาห์ที่แล้วที่อยู่เบื้องหลังเพลง,مثل الأصلي وحاد مثل حلقة الأسبوع الماضي وراء الأغنية,先週の音楽の裏話と同じくらいオリジナルで洞察力に富んでいます 。,与上周音乐背后的一集一样具有原创性和洞察力 。
NEG,michele is a such a brainless flibbertigibbet that it ' s hard to take her spiritual quest at all seriously .,michele est une flibbertigibbet si déconcertante qu ' il est difficile de prendre sa quête spirituelle au sérieux .,michele เป็นคนช่างพูดที่งี่เง่ามาก ๆ ว่ามันยากที่จะทำภารกิจจิตวิญญาณของเธออย่างจริงจัง,ميشيل سخيف ثرثارة الأشياء التي جعلت من الصعب على رسالتها الروحية على محمل الجد.,micheleはそのような頭脳のないflibbertigibbetなので 、 彼女の精神的な探求を真剣に考えるのは難しいです 。,michele是一个如此无脑的flibbertigibbet ， 很难认真对待她的精神追求 。
NEG,a fascinating but choppy documentary .,un documentaire fascinant mais agité .,สารคดีที่น่าสนใจ แต่ขาด ๆ หาย ๆ,وثائقي مثيرة للاهتمام لكنه يفتقر الى أي المفقودين الناس.,魅力的だが途切れたドキュメンタリー 。,一部引人入胜但又波涛汹涌的纪录片 。
NEG,"it ' s so laddish and juvenile , only teenage boys could possibly find it funny .",c ' est tellement mignon et juvénile que seuls les garçons adolescents peuvent le trouver drôle .,มันช่างน่าเวทนาและเด็กเกินไปมีเพียงเด็กวัยรุ่นเท่านั้นที่จะพบว่ามันตลก,إنه أمر مثير للشفقة وصغار السن ، فقط المراهقون سيجدون ذلك مضحكا.,それはとてもおしゃれで若く 、 10代の少年だけがそれをおかしいと思うかもしれません 。,它是如此的低俗和少年 ， 只有十几岁的男孩可能会觉得它很有趣 。
NEG,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it ' s impossible to care who wins .","avec l ' édition de flashs comme couverture de l ' absence de continuité narrative , incontesté est presque incohérent , une excuse pour se rendre au combat final . . . à quel moment il est impossible de se soucier de qui gagne .",ด้วยการแก้ไข flashbulb เพื่อปกปิดการขาดความต่อเนื่องของการเล่าเรื่องที่ไม่มีปัญหานั้นเกือบจะไม่ต่อเนื่องกันเป็นข้อแก้ตัวที่จะเข้าสู่การแข่งขันปิด . . ตามเวลาที่มันเป็นไปไม่ได้ที่จะดูแลผู้ชนะ,مع تحرير المصباح الخفي لإخفاء عدم استمرارية سرد القصص غير المعقول الذي يكاد يكون غير متقطع ، يعد ذريعة للدخول في المسابقة الختامية .. بحلول الوقت الذي يكون من المستحيل فيه رعاية الفائزين.,物語の連続性の欠如のためのカバーとしての閃光電球の編集で 、 議論の余地のないものはほとんどインコヒーレントで 、 終わりの試合に行くための言い訳です 。 。 。 誰が勝つかを気にすることは不可能です 。,随着闪光灯编辑作为封面 ， 没有叙事连续性 ， 无可争议的几乎是不连贯的 ， 这是一个借口来结束比赛 。 。 。 到那时 ， 关心谁赢了也是不可能的 。
NEG,a small independent film suffering from a severe case of hollywood - itis .,un petit film indépendant souffrant d ' un grave cas de hollywood - itis .,ภาพยนตร์อิสระขนาดเล็กที่ได้รับความทุกข์ทรมานจากคดีฮอลลีวู้ด - itis,فيلم مستقلة الصغيرة التي كانت تعاني من حالة من هوليوود - يتيس.,ハリウッドイティスの深刻なケースに苦しんでいる小さな独立系映画 。,一部小型独立电影遭遇好莱坞的严重案件 。
NEG,an uninspired preachy and clichéd war film .,un film de guerre prêché et cliché sans inspiration .,ภาพยนตร์สงคราม preachy and clichédที่ไม่มีปฏิภาณ,فيلم حرب الوعظ والكليشيد الذي لم يكن ملهمًا,説得力のない説教と冷酷な戦争映画 。,一部没有灵感的讲道和陈词滥调的战争电影 。
NEG,"whether it ' s the worst movie of 2002 , i can ' t say for sure : memories of rollerball have faded , and i skipped country bears . but this new jangle of noise , mayhem and stupidity must be a serious contender for the title .","que ce soit le pire film de 2002 , je ne peux pas dire avec certitude : les souvenirs du roller ont disparu , et j ' ai sauté des ours de la campagne . mais ce nouveau brouhaha de bruit , de chaos et de stupidité doit être un sérieux prétendant au titre .","ไม่ว่าจะเป็นภาพยนตร์ที่เลวร้ายที่สุดของปี 2002 ฉันไม่สามารถพูดได้อย่างแน่นอน: ความทรงจำของโรลเลอร์บอลได้จางหายไปและฉันก็ข้ามหมีประเทศ แต่เสียงรบกวนใหม่, การทำร้ายร่างกายและความโง่เขลาจะต้องเป็นคู่แข่งที่ร้ายแรงสำหรับตำแหน่ง",بغض النظر ، إنه أسوأ فيلم في عام 2002. لا يمكنني القول على وجه اليقين : لقد تلاشت ذكريات لعبة الكرات الروليت عبرت البلاد. الضوضاء الجديد ، والفوضى والجنون يكون منافسا خطيرا لهذا المنصب.,それが2002年の最悪の映画であるかどうかにかかわらず 、 私は確かに言うことができません ： ローラーボールの記憶は薄れて 、 そして私はカントリーベアをスキップしました 。 しかし 、 ノイズ 、 騒乱 、 愚かさというこの新たなジャングルは 、 タイトルにとって真剣な論点となるはずです 。,不管它是2002年最糟糕的电影 ， 我不能肯定地说 ： 滚球的记忆已经消退了 ， 我跳过了国家熊 。 但这种新的混乱 ， 混乱和愚蠢必定是标题的一个重要竞争者 。
NEG,the film virtually chokes on its own self - consciousness .,le film s ' étouffe pratiquement sur sa propre conscience .,ภาพยนตร์เรื่องนี้ฉายาถึงความประหม่าของตนเอง,يطلق على هذا الفيلم الوعي الذاتي.,映画はそれ自身の自己意識を事実上窒息させている 。,这部电影几乎扼杀了自己的自我意识 。
NEG,it almost feels as if the movie is more interested in entertaining itself than in amusing us .,on a presque l ' impression que le film est plus intéressé à se divertir qu ' à s ' amuser .,มันเกือบจะรู้สึกราวกับว่าภาพยนตร์มีความสนใจในความบันเทิงมากกว่าที่จะทำให้เราสนุก,يبدو الأمر كما لو أن الفيلم مهتم بالترفيه أكثر من اهتمامنا.,まるで映画が私たちを楽しませることよりも自分自身を楽しませることに関心があるように感じます 。,它几乎感觉好像电影对娱乐本身更感兴趣而不是娱乐我们 。
NEG,the good girl is a film in which the talent is undeniable but the results are underwhelming .,la bonne fille est un film dans lequel le talent est indéniable mais les résultats sont décevants .,หญิงสาวที่ดีเป็นภาพยนตร์ที่ไม่สามารถปฏิเสธได้ แต่ความสามารถนั้นไม่ได้ผล,الفتاة الطيبة هي فيلم لا يمكن تجاهله. لكن هذه القدرة لم تنجح.,いい子は才能は否定できないが結果は圧倒的なものです 。,好女孩是一部电影 ， 其中的才能是不可否认的 ， 但结果却没有给人留下深刻印象 。
NEG,"all in all , there ' s only one thing to root for : expulsion for everyone .","dans l’ensemble , il n’ya qu’une chose à la racine : l’expulsion pour tous .",โดยรวมแล้วมีเพียงสิ่งเดียวเท่านั้นที่จะหยั่งรากสำหรับ: การขับไล่สำหรับทุกคน,بشكل عام ، هناك شيء واحد فقط يتم تأصيله : الإخلاء للجميع.,全体として 、 根付くべきことが1つだけあります 。,总而言之 ， 只有一件事可以解决 ： 驱逐每个人 。
NEG,"a broad , melodramatic estrogen opera that ' s pretty toxic in its own right .",un opéra aux œstrogènes mélodramatique large et assez toxique en soi .,โอเปร่าเอสโตรเจนที่ไพเราะและไพเราะซึ่งเป็นพิษอยู่ในตัวของมันเอง,الأوبرا الاستروجينية الجميلة والإيقاعات في حد ذاته,それ自体はかなり有毒な 、 幅広くメロドラマ的なエストロゲンオペラ 。,一种广泛的 ， 戏剧性的雌激素歌剧本身就很有毒 。
NEG,the film didn ' t convince me that calvin jr . ' s barbershop represents some sort of beacon of hope in the middle of chicago ' s south side .,le film ne m ' a pas convaincu que calvin jr . le salon de coiffure de sos représente une sorte de symbole d ' espoir au milieu du sud de chicago .,ภาพยนตร์เรื่องนี้ไม่เชื่อฉันเลยว่า calvin jr ร้านตัดผมของร้านเป็นสัญญาณแห่งความหวังในด้านทิศใต้ของชิคาโก,الفيلم لم يصدقني على الإطلاق ، صالون حلاقة كالفين جونيور هو علامة أمل في الجانب الجنوبي من شيكاغو.,映画は私にそのカルバンジュニアを納得させなかった 。 の理髪店はシカゴの南側の真ん中にある種の希望の象徴を表しています 。,这部电影并没有让我相信卡尔文小 。 在芝加哥南边的中间 ， 理发店代表着某种希望的灯塔 。
NEG,fluffy neo - noir hiding behind cutesy film references .,un néo - noir duveteux se cachant derrière des références de films mordantes .,ปุยใหม่นีโอนัวร์ซ่อนตัวอยู่เบื้องหลังการอ้างอิงภาพยนตร์ cutesy,أشعث النوير الجديد يختبئ وراء المراجع فيلم cutesy,不思議な映画の参考文献の後ろに隠れているふわふわしたネオノワール 。,蓬松的新黑色隐藏在可爱的电影参考之后 。
NEG," all in all , reign of fire will be a good ( successful ) rental . '","en somme , le règne du feu sera une bonne location ( réussie ) . '",'ทั้งหมดในทุกอาณาจักรของไฟจะเป็นการเช่าที่ดี (ประสบความสำเร็จ) ', الكل في الكل ، فإن مملكة النار ستكون تأجيرًا جيدًا ( ناجحًا ),' 結局のところ 、 火の治世は良い （ 成功した ） レンタルになります 。 ',总而言之 ， 火的统治将是一个很好的 （ 成功的 ） 租赁 。 “
NEG,heavy - handed exercise in time - vaulting literary pretension .,exercice à mains nues dans la prétention littéraire voûtée du temps .,การออกกำลังกายอย่างหนักในช่วงเวลา,ممارسة مكثفة خلال الوقت,時を刻むような文学的なふりをしているときの激しい運動 。,在时间跳跃的文学自负的严厉运动 。
NEG,". . . a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i can ' t believe any viewer , young or old , would have a good time here .",". . . un désastre complet d ' un film si bâclé , si inégal , si désagréable que je ne peux pas croire qu ' un téléspectateur , jeune ou vieux , passerait un bon moment ici .",. . . ภาพยนตร์ที่เต็มไปด้วยความยุ่งเหยิงดังนั้นความไม่สมดุลดังนั้นฉันจึงไม่อยากเชื่อเลยว่าฉันจะเชื่อว่าผู้ชมไม่ว่าจะเด็กหรือผู้ใหญ่จะมีช่วงเวลาที่ดีที่นี่,... أفلام مليئة بالفوضى والاختلالات ، لذلك لا أستطيع أن أصدق أنني أعتقد أن المشاهدين ، سواء كانوا أطفالًا أو بالغين ، سوف يقضون وقتًا رائعًا هنا.,。 。 。 非常にずさんな 、 むらのある 、 とても不愉快な映画の完全なむらがあるので 、 老いも若きも視聴者は誰もここで楽しい時間を過ごすことができないでしょう 。,。 。 。 一部完全混乱的电影如此草率 ， 如此不平衡 ， 如此该死的令人不快 ， 我无法相信任何观众 ， 无论年轻还是年老 ， 都会在这里过得愉快 。
NEG,just isn ' t as weird as it ought to be .,n ' est tout simplement pas aussi étrange que cela devrait être .,แค่ไม่แปลกอย่างที่ควรจะเป็น,ليس فقط غريب كما يجب أن يكون.,ただそれがあるべきであるほど奇妙ではありません 。,只是不像它应该的那样奇怪 。
NEG,looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter ' s imagination .,cela ressemble terriblement à un long spot touristique pour une mississippi qui n’a peut - être jamais existé en dehors de l’imagination d’un scénariste .,ดูน่ากลัวเหมือนจุดท่องเที่ยวยาวหนึ่งแห่งสำหรับมิสซิสซิปปีที่ไม่เคยมีอยู่นอกจินตนาการของนักเขียนบทละคร,تبدو مخيفة كمنطقة سياحية طويلة في ولاية ميسيسيبي لم تكن موجودة أبدًا خارج خيال الكاتب المسرحي.,スクリプトライターの想像力の外には存在したことがなかったかもしれないミシシッピのための1つの長い観光地のようにひどく見えます 。,看起来非常像密西西比的一个长途旅游景点 ， 这可能永远不会出现在编剧的想象之外 。
NEG,"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction .","il serait impoli de reprocher à quiconque de recevoir toute consolation que l ' on puisse trouver chez dragonfly . pourtant , il est impossible de trouver le film autrement que consternant , manipulé sans scrupule , artificiel et totalement dénué de conviction .",มันจะหยาบคายที่จะยกย่องใครก็ตามที่ได้รับการปลอบใจอะไรก็ตามที่สามารถพบได้ในแมลงปอ แต่มันก็เป็นไปไม่ได้ที่จะได้พบกับหนังเรื่องใดนอกจากเรื่องที่น่าสะพรึงกลัวบิดเบือนและบิดเบือน,سيكون من الوقح أن نمدح أي شخص قد عزاء كل ما يمكن العثور عليه في اليعسوب. ولكن من المستحيل العثور على أي فيلم بخلاف القصص المرعبة والمشوهة والمشوهة.,トンボに見られるようなどんな慰めでも受けることを誰にも侮辱するのは恥ずべきことですが 、 それでも 、 その映画をぞっとするようなもの 、 恥知らずに操作するもの 、 人為的なもの 、 そして完全に有罪判決を欠くものを見つけることは不可能です 。,嫉妒任何人接受任何可以在蜻蜓中找到的安慰都是不礼貌的 ， 但要找到这部电影是不可能的 ， 除了骇人听闻 ， 无耻地操纵和做作 ， 完全缺乏信念 。
NEG,throw smoochy from the train !,jetez smoochy du train!,โยนจูบจากรถไฟ!,رمي قبلة من القطار !,電車からスムーズに投げます！,从火车扔出smoochy！
NEG,"it ' s too self - important and plodding to be funny , and too clipped and abbreviated to be an epic .","il est trop important pour soi d ' être drôle , trop pénible et trop abrégé pour être une épopée .",มันสำคัญเกินกว่าที่จะเป็นตัวของตัวเองและขำมากที่จะตลกและถูกเล็มและยากเกินไปที่จะเป็นมหากาพย์,من المهم للغاية أن تكون نفسك ومضحكًا للغاية لأن تكون مضحكة وأن تكون مشذباً وصعبًا للغاية من أن تكون ملحمة.,それは自己批判的すぎて面白くないと思い 、 そして切り詰められて省略されすぎて叙事詩になることもできません 。,它过于自我重要 ， 而且很有趣 ， 而且过于剪裁和缩写为史诗 。
NEG,"as if drop dead gorgeous wasn ' t enough , this equally derisive clunker is fixated on the spectacle of small - town competition .","comme si tomber morte ne valait pas la peine , ce clunker tout aussi moqueur est obsédé par le spectacle de la compétition des petites villes .",ราวกับว่าหล่นตายงดงามไม่พอ clunker เย้ยหยันนี้เท่ากันถูกตรึงบนปรากฏการณ์ของการแข่งขันเมืองเล็ก ๆ,كما لو أن هناك قطرة ميتة ، لا تكفي الجمال ، فقد تم تثبيت هذا المخلب المهين بنفس القدر على ظاهرة مسابقة بلدة صغيرة .,まるでドロップデッドゴージャスでは十分ではなかったかのように 、 この同様に厄介なクランカーは小さな町の競争の光景に固定されています 。,好像堕落的华丽还不够 ， 这个同样嘲弄的笨蛋也注重了小城镇竞争的景象 。
NEG,"several of steven soderbergh ' s earlier films were hailed as the works of an artist . sadly , full frontal plays like the work of a dilettante .","plusieurs des films précédents de steven soderbergh ont été salués comme des œuvres d ' artiste . tristement , le frontal intégral joue comme le travail d ' un dilettante .",ภาพยนตร์ก่อนหน้านี้หลายเรื่องของโซเดอร์เบิร์กถูกยกย่องว่าเป็นผลงานของศิลปิน น่าเศร้าเล่นเต็มหน้าผากเช่นการทำงานของผู้สมัครเล่น,العديد من أفلام Soderberg السابقة كانت موضع ترحيب باعتبارها من أعمال الفنانين. للأسف ، لعب كامل على الجبهة ، مثل عمل أحد الهواة,steven soderberghの初期の映画のいくつかは芸術家の作品として歓迎されていました 。 残念なことに 、 全面的な正面は頭が悪い人の仕事のように演じています 。,史蒂文 · 索德伯格早期的几部电影被誉为艺术家的作品 。 可悲的是 ， 完整的正面戏剧就像一个dilettante的工作 。
NEG,". . . pitiful , slapdash disaster . a doa dud from frame one .",". . . pitoyable , catastrophe bâclée . un doa raté de la première image .",. . . น่าสลดใจหายนะที่ทำให้เจ็บตัว คนโง่จากกรอบหนึ่ง,... كئيبة ، مما تسبب في الضيق شخص غبي من الإطار الأول,。 。 。 哀れな 、 slapdashの災害 。 フレーム1からdoa dud 。,。 。 。 可怜的 ， slapdash灾难 。 来自第一帧的doa哑 。
NEG,"the question hanging over the time machine is not , as the main character suggests , ' what if ? ' but rather , ' how can you charge money for this ? '","la question qui pèse sur la machine à voyager dans le temps n ' est pas , comme le suggère le personnage principal , "" et si ? "" mais plutôt , "" comment pouvez - vous facturer de l ' argent pour cela ? '",คำถามที่แขวนอยู่เหนือไทม์แมชชีนไม่ใช่ตัวละครหลักแนะนำว่า 'จะเป็นเช่นไร? 'แต่แทนที่จะเป็น' คุณจะเก็บเงินได้อย่างไร ',ليس السؤال الرئيسي الذي يعلق على جهاز الزمن هو الشخصية الرئيسية ، مما يشير إلى "ما سيكون ؟" ولكن بدلاً من " كيف يمكنك توفير المال؟ ",主人公が示唆しているように 、 タイムマシーンにぶら下がっている質問はそうではありません 。 「むしろ」 、 これに対してどのようにお金を請求できますか 。 ',正如主要人物所暗示的那样 ， 悬挂在时间机器上的问题并非如此？ ' 但是 ， ' 你怎么能为此收钱呢？ “
NEG,less funny than it should be and less funny than it thinks it is .,moins drôle qu’il ne devrait l’être et moins drôle qu’il ne le pense .,ตลกน้อยกว่าที่ควรจะเป็นและตลกน้อยกว่าที่คิดไว้,أقل مضحك مما ينبغي أن يكون وأقل مضحك مما تعتقدون,それがあるべきであるよりも面白くなく 、 考えているよりも面白くない 。,不那么有趣 ， 也不像它想象的那么有趣 。
NEG,"the film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil .","le film est alourdi par le soutien de personnages trop bons , trop sages ou mal informés , ou carrément mauvais .","ภาพยนตร์เรื่องนี้มีน้ำหนักลงโดยการสนับสนุนตัวละครที่มีทั้งดี, ฉลาดและรู้หรือชั่วร้ายตลกอย่างจริงจัง",يوزن الفيلم أسفل من خلال دعم الشخصيات التي هي على حد سواء كبير ، ذكية، ومضحك، أو بصراحة الشر.,この映画は 、 あまりにも賢く 、 賢くて知っている 、 あるいは実に悪魔的である人物を支持することによって重視されています 。,这部电影是通过支持那些既善良 ， 聪明又知道或彻头彻尾的滑稽邪恶的角色而被压低的 。
NEG,"a chilly , remote , emotionally distant piece . . . so dull that its tagline should be : ' in space , no one can hear you snore . '","un morceau froid , distant , émotionnellement distant . . . si terne que son slogan devrait être : ' dans l ' espace , personne ne peut vous entendre ronfler . '",ชิ้นส่วนที่อยู่ห่างไกลและห่างไกลทางอารมณ์ . . น่าเบื่อจนสโลแกนของมันควรจะเป็น: 'ในอวกาศไม่มีใครได้ยินเสียงคุณกรน ',الأجزاء البعيدة والبعيدة عاطفيا ... مملة لدرجة أن شعارها يجب أن يكون : " في الفضاء ، لا يمكن لأحد أن يسمع لك الشخير " .,肌寒い 、 遠く離れた 、 感情的に遠い作品 。 。 。 キャッチフレーズのスペースが空いていると 、 誰もいびきをかくことができません 。 ',一个寒冷 ， 遥远 ， 情感遥远的作品 。 。 。 如此沉闷 ， 它的标语应该是 ： ' 在太空中 ， 没有人能听到你打鼾 。 “
NEG,"hey , at least the title of this film lets you know exactly where it ' s heading .","hé , au moins le titre de ce film vous permet de savoir exactement où il va .",อย่างน้อยที่สุดชื่อเรื่องของหนังเรื่องนี้จะช่วยให้คุณรู้ได้อย่างแม่นยำว่ามันมุ่งหน้าไปทางไหน,على الأقل ، سيساعدك عنوان الفيلم في معرفة وجهته بدقة.,こんにちは 、 少なくともこの映画のタイトルでは 、 正確にはどこに向かっているのかを知ることができます 。,嘿 ， 至少这部电影的标题让你知道它的确切位置 。
NEG,"his [nelson ' s] screenplay needs some serious re - working to show more of the dilemma , rather than have his characters stage shouting matches about it .","son scénario [nelson] nécessite de sérieux remaniements pour montrer plus de dilemme , plutôt que de laisser ses personnages jouer des matches crier à ce sujet .",บทภาพยนตร์ของ [เนลสัน] ของเขาต้องการการทำงานอย่างจริงจังเพื่อแสดงให้เห็นถึงภาวะที่กลืนไม่เข้าคายไม่ออกมากกว่าที่ตัวละครของเขาจะตะโกนเวทีจับคู่กันเกี่ยวกับเรื่องนี้,يحتاج سيناريو فيلمه [ نيلسون ] إلى عمل أكثر جدية لتوضيح المعضلة من يصرخ شخصياته في مرحلة المطابقة حول هذا.,彼の[nelsonの]脚本は 、 彼のキャラクターがそれについての試合を叫ぶのではなく 、 より多くのジレンマを見せるためにいくらかの深刻な再作業を必要とします 。,他的[纳尔逊]剧本需要一些严肃的重新演绎来展现更多的困境 ， 而不是让他的角色在舞台上大喊大叫 。
NEG,hollywood ' s answer to an air ball .,la réponse de hollywood à un ballon d ' air .,คำตอบของบอลลีวูด,إجابات بوليوود,ハリウッドの空気球に対する答え,好莱坞对空气球的回答 。
NEG,"imagine ( if possible ) a pasolini film without passion or politics , or an almodovar movie without beauty or humor , and you have some idea of the glum , numb experience of watching o fantasma .","imaginez ( si possible ) un film pasolini sans passion ni politique , ou un film almodovar sans beauté ni humour , et vous avez une idée de l ' expérience lugubre et engourdie de regarder o fantasma .",จินตนาการ (ถ้าเป็นไปได้) ภาพยนตร์ pasolini ที่ไม่มีความรักหรือการเมืองหรือภาพยนตร์ almodovar ที่ไม่มีความสวยงามหรือมีอารมณ์ขันและคุณมีความคิดเกี่ยวกับความงามประสบการณ์ที่ดูมึนงง,تخيل ( إن أمكن ) فيلم pasolini بدون حب أو سياسة ، أو أفلام المودوفار التي ليست جميلة ولا روح الدعابة ، ولديك أفكار عن الجمال ، وهي تجربة تشبه الغيبوبة.,情熱や政治のないペソリーニ映画 、 あるいは美しさやユーモアのないアルモドバ映画を （ できれば ） 想像してみてください 。,想象 （ 如果可能的话 ） 没有激情或政治的pasolini电影 ， 或没有美或幽默的阿莫多瓦电影 ， 你对看到幻想的闷闷不乐的经历有所了解 。
NEG,"the mothman prophecies , which is mostly a bore , seems to exist only for its climactic setpiece .","les prophéties de mothman , qui sont pour la plupart ennuyeuses , ne semblent exister que pour sa pièce maîtresse .",คำพยากรณ์ของมอดแมนซึ่งส่วนใหญ่เป็นเบื่อดูเหมือนว่าจะมีอยู่เฉพาะสำหรับฉากยอดเยี่ยมของมัน,يبدو أن تنبؤات المودمان ، التي يشعر معظمها بالملل ، موجودة فقط للمشاهد الرائعة.,ほとんどの場合ボアである蛾の予言は 、 その気候的な定番のためだけに存在するようです 。,莫斯曼的预言 ， 主要是一个洞 ， 似乎只存在于其高潮的设置中 。
